Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	0.93	0.63	0.19	1.75
TimeCrypt Baseline	0.94	0.66	0.20	1.81
TimeCrypt Baseline	0.93	0.66	0.18	1.76
TimeCrypt Baseline	0.89	0.67	0.19	1.74
TimeCrypt Baseline	0.89	0.67	0.19	1.75
TimeCrypt Baseline	0.89	0.68	0.18	1.75
TimeCrypt Baseline	0.90	0.74	0.19	1.83
TimeCrypt Baseline	0.91	0.63	0.18	1.71
TimeCrypt Baseline	0.95	0.62	0.20	1.77
TimeCrypt Baseline	0.99	0.63	0.20	1.82
TimeCrypt Baseline	0.93	0.62	0.20	1.75
TimeCrypt Baseline	0.92	0.62	0.20	1.74
TimeCrypt Baseline	0.90	0.64	0.19	1.74
TimeCrypt Baseline	0.92	0.63	0.20	1.75
TimeCrypt Baseline	0.92	0.66	0.20	1.77
TimeCrypt Baseline	0.96	0.64	0.21	1.81
TimeCrypt Baseline	2.17	0.69	0.21	3.07
TimeCrypt Baseline	0.98	0.66	0.24	1.88
TimeCrypt Baseline	0.98	0.67	0.21	1.86
TimeCrypt Baseline	0.90	0.67	0.21	1.79
TimeCrypt Baseline	0.92	0.68	0.21	1.81
TimeCrypt Baseline	0.90	0.68	0.21	1.80
TimeCrypt Baseline	0.92	0.69	0.26	1.88
TimeCrypt Baseline	0.95	0.85	0.22	2.02
TimeCrypt Baseline	0.93	0.70	0.23	1.85
TimeCrypt Baseline	0.92	0.72	0.23	1.88
TimeCrypt Baseline	0.97	0.73	0.22	1.93
TimeCrypt Baseline	1.77	0.77	0.22	2.77
TimeCrypt Baseline	1.62	0.73	0.26	2.61
TimeCrypt Baseline	1.74	7.22	0.25	9.21
TimeCrypt Baseline	0.97	0.78	0.24	1.99
TimeCrypt Baseline	1.01	0.75	0.24	2.00
TimeCrypt Baseline	0.95	0.70	0.22	1.87
TimeCrypt Baseline	1.00	0.93	0.22	2.15
TimeCrypt Baseline	0.96	0.85	0.24	2.05
TimeCrypt Baseline	0.92	0.75	0.25	1.93
TimeCrypt Baseline	0.93	0.76	0.26	1.95
TimeCrypt Baseline	0.94	0.80	0.26	1.99
TimeCrypt Baseline	0.94	0.81	0.25	2.00
TimeCrypt Baseline	0.93	0.81	0.26	2.00
TimeCrypt Baseline	0.95	0.83	0.26	2.04
TimeCrypt Baseline	0.94	0.86	0.28	2.08
TimeCrypt Baseline	1.00	0.83	0.26	2.09
TimeCrypt Baseline	0.98	0.86	0.27	2.10
TimeCrypt Baseline	1.00	0.87	0.26	2.14
TimeCrypt Baseline	0.99	0.88	0.27	2.14
TimeCrypt Baseline	0.97	0.89	0.29	2.14
TimeCrypt Baseline	1.00	0.86	0.27	2.14
TimeCrypt Baseline	0.94	0.89	0.27	2.09
TimeCrypt Baseline	0.94	0.87	0.28	2.08
TimeCrypt Baseline	0.95	0.92	0.29	2.17
TimeCrypt Baseline	0.99	0.87	0.30	2.15
TimeCrypt Baseline	0.98	0.90	0.26	2.14
TimeCrypt Baseline	0.95	0.90	0.27	2.12
TimeCrypt Baseline	0.97	0.89	0.29	2.15
TimeCrypt Baseline	0.96	0.89	0.30	2.15
TimeCrypt Baseline	0.98	0.83	0.29	2.11
TimeCrypt Baseline	0.97	0.87	0.26	2.10
TimeCrypt Baseline	0.98	0.92	0.29	2.19
TimeCrypt Baseline	1.03	0.98	0.29	2.30
TimeCrypt Baseline	1.02	1.00	0.30	2.32
TimeCrypt Baseline	0.98	0.99	0.31	2.29
TimeCrypt Baseline	1.04	0.91	0.30	2.24
TimeCrypt Baseline	1.05	0.92	0.29	2.26
TimeCrypt Baseline	1.02	1.01	0.31	2.34
TimeCrypt Baseline	1.91	1.03	0.31	3.24
TimeCrypt Baseline	1.67	0.99	0.29	2.95
TimeCrypt Baseline	0.99	1.13	0.27	2.40
TimeCrypt Baseline	1.01	0.97	0.30	2.28
TimeCrypt Baseline	0.98	0.98	0.28	2.25
TimeCrypt Baseline	1.00	0.92	0.30	2.23
TimeCrypt Baseline	0.98	0.94	0.32	2.24
TimeCrypt Baseline	0.99	1.15	0.49	2.63
TimeCrypt Baseline	1.09	1.32	0.32	2.73
TimeCrypt Baseline	3.60	1.50	0.30	5.40
TimeCrypt Baseline	1.03	1.11	0.34	2.48
TimeCrypt Baseline	1.00	1.05	0.33	2.38
TimeCrypt Baseline	1.02	1.10	0.34	2.46
TimeCrypt Baseline	1.05	1.00	0.30	2.36
TimeCrypt Baseline	1.04	1.08	0.34	2.46
TimeCrypt Baseline	1.01	1.06	0.32	2.39
TimeCrypt Baseline	1.03	1.03	0.33	2.39
TimeCrypt Baseline	1.04	1.15	0.35	2.55
TimeCrypt Baseline	1.00	1.08	0.36	2.44
TimeCrypt Baseline	1.02	1.09	0.35	2.45
TimeCrypt Baseline	1.02	1.01	0.35	2.39
TimeCrypt Baseline	0.96	1.07	0.38	2.41
TimeCrypt Baseline	0.98	1.08	0.32	2.37
TimeCrypt Baseline	1.04	1.07	0.35	2.46
TimeCrypt Baseline	1.01	1.14	0.35	2.50
