Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.333	Enc(EC ElGamal): 0.008	Enc(OPE): 4.932	Enc(ORE): 0.002
Dec(Paillier): 0.147	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.008	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.363	Enc(EC ElGamal): 0.009	Enc(OPE): 6.290	Enc(ORE): 0.003
Dec(Paillier): 0.168	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.355	Enc(EC ElGamal): 0.011	Enc(OPE): 9.381	Enc(ORE): 0.002
Dec(Paillier): 0.141	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.346	Enc(EC ElGamal): 0.010	Enc(OPE): 5.171	Enc(ORE): 0.002
Dec(Paillier): 0.142	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.353	Enc(EC ElGamal): 0.015	Enc(OPE): 5.131	Enc(ORE): 0.002
Dec(Paillier): 0.139	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.350	Enc(EC ElGamal): 0.008	Enc(OPE): 4.989	Enc(ORE): 0.002
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.348	Enc(EC ElGamal): 0.010	Enc(OPE): 5.069	Enc(ORE): 0.002
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.363	Enc(EC ElGamal): 0.009	Enc(OPE): 5.032	Enc(ORE): 0.002
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.359	Enc(EC ElGamal): 0.010	Enc(OPE): 5.497	Enc(ORE): 0.002
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.382	Enc(EC ElGamal): 0.009	Enc(OPE): 14.363	Enc(ORE): 0.002
Dec(Paillier): 0.141	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.373	Enc(EC ElGamal): 0.009	Enc(OPE): 11.396	Enc(ORE): 0.002
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.349	Enc(EC ElGamal): 0.012	Enc(OPE): 5.998	Enc(ORE): 0.003
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.369	Enc(EC ElGamal): 0.009	Enc(OPE): 4.939	Enc(ORE): 0.002
Dec(Paillier): 0.147	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.361	Enc(EC ElGamal): 0.014	Enc(OPE): 4.084	Enc(ORE): 0.002
Dec(Paillier): 0.152	Dec(EC ElGamal): 0.011	Dec(OPE): 0.002	Dec(ORE): 0.002
